price,pyung,firm,age,educ,subway,hhs,recon
6.2,12,0.2,10,10,22,170,0
16,61,1,23,17,11,325,0
10.7,23,1.2,5,15,18,308,0
11.4,15,1.2,17,9,14,559,0
3.9,16,0.3,3,7,6,341,0
7.4,17,1.2,17,9,18,456,0
1.8,25,1.2,14,6,24,298,0
10.3,19,3.4,37,17,11,150,2
2.4,11,0.6,3,11,14,397,0
8.5,30,0.8,26,11,18,474,0
7.5,29,0.8,22,6,12,217,0
8.1,15,1.4,16,14,15,136,0
6.3,25,0.4,35,10,13,734,0
12.2,18,2.7,31,11,6,778,0
10.7,33,0.2,14,6,18,684,0
6.2,14,0.6,22,8,18,555,0
4.4,25,1,13,7,18,570,0
10.3,37,1.5,24,16,16,260,0
8.2,31,0.9,10,11,19,1079,0
8.5,35,1.2,34,7,22,131,0
6.5,18,1.2,29,12,9,159,2
3.4,20,1.1,1,7,17,509,0
10.6,21,3.2,36,17,4,703,7
8.2,37,1.4,40,7,13,200,1
7.7,13,1.4,29,12,24,943,3
4.9,17,1.5,11,13,15,212,0
14.5,35,3.1,20,17,16,224,0
9.9,21,2.1,0,7,14,299,0
11.6,22,0.9,24,7,2,1014,0
4.5,13,0.3,30,6,11,230,0
6.1,33,0.7,10,16,12,225,0
6.8,30,0.7,0,9,18,215,0
8.6,24,0.4,22,6,11,144,0
9.1,35,0.5,17,12,13,632,0
6.1,27,0.7,13,15,18,745,0
10.4,21,1,2,8,13,987,0
9.8,15,0.6,20,5,8,197,0
12.7,36,0.8,5,13,14,1321,0
8.4,25,2,24,9,16,364,0
10.9,21,0.4,0,3,11,900,0
8.5,23,0.5,9,9,1,731,0
8.7,28,1.7,19,7,17,255,0
8.3,7,2.3,33,15,24,921,0
2,19,0.8,11,4,19,236,0
14.1,27,1,18,18,13,2950,0
0.2,8,2.7,31,9,17,214,0
6.5,20,0.1,39,10,11,349,0
3.6,38,0.8,33,7,8,156,0
11.2,28,0.6,25,13,11,303,0
6.4,27,1.9,6,9,11,231,0
7.6,25,0.4,28,9,15,309,1
3.8,8,0.9,10,16,14,185,0
13.4,38,1,17,7,18,528,0
7.8,36,0.4,40,8,16,144,8
4.3,26,2.7,17,8,15,121,0
12.4,31,0.8,28,8,16,385,10
1.1,12,1,3,13,17,259,0
13.3,7,1.5,17,15,16,2421,0
4.8,25,1.1,11,14,12,221,0
16.1,44,0.4,3,17,20,191,0
7.5,22,0.5,17,5,18,192,0
13.6,10,2,38,7,16,408,0
4.6,11,1.2,29,18,7,356,0
17.9,55,0.7,19,8,11,136,0
5.7,12,0.9,27,12,15,347,0
19.8,61,1.1,25,15,17,1209,4
7.5,22,0.6,32,18,12,603,0
22.5,44,0.3,4,14,12,1320,0
7.3,24,0.4,1,8,22,187,0
6.1,18,1.4,10,8,16,237,0
3.4,18,5.1,23,18,13,212,0
5.8,16,1.2,29,10,11,597,0
7.5,21,0.6,23,13,18,519,0
3.4,15,0.6,33,7,14,394,5
6.1,25,0.4,34,12,12,349,0
4.9,30,3.3,8,13,19,309,0
11,10,0.5,1,7,14,1848,0
7,38,0.1,11,18,23,151,0
12.8,46,1.5,14,10,14,258,0
16,44,1.2,14,9,24,231,0
4.9,10,1.5,22,11,16,200,0
9.9,26,1,37,17,18,257,0
6.1,16,0.9,7,10,18,193,0
4.5,14,0.6,11,13,15,322,0
11.3,32,2.1,31,16,12,468,0
6,29,1.4,25,7,11,191,0
5.5,33,0.5,16,9,6,368,0
7.3,21,1.9,21,9,12,222,0
4.4,11,0.5,29,7,16,149,0
7.6,26,1.2,35,11,11,234,0
10.6,18,0.3,16,14,14,772,0
3.9,11,0.4,1,10,11,306,0
6.2,23,1.6,2,5,17,283,0
5.5,12,1.5,5,7,17,288,0
5.7,21,1.5,24,2,18,146,0
16.4,72,0.8,2,13,12,884,0
6.3,27,1.7,38,7,19,181,0
5,16,0.6,32,7,12,160,5
0.3,12,1,0,8,13,337,0
5.4,14,4.1,35,11,9,1325,0
10,36,1.6,16,9,15,556,0
13.7,22,3.4,29,8,18,682,3
5,14,0.7,9,8,20,314,0
1.2,11,0.4,24,9,20,260,0
5.4,19,0.6,15,18,16,644,0
5.9,18,1.5,15,5,14,291,0
11.3,33,2.5,8,10,16,231,0
14.2,38,0.6,20,7,12,735,0
6.5,8,0.6,33,15,17,380,0
13.1,32,1.9,33,8,18,996,0
5.1,21,2.3,9,10,21,283,0
3.4,12,0.6,15,8,16,437,0
6.2,30,0.4,36,10,19,237,0
22.9,77,0.6,26,16,18,492,0
9.1,27,0.4,36,10,12,213,9
5.1,5,1,39,15,11,461,0
7,16,0.2,39,14,17,281,0
